"","CNTSCHID","ST004D01T","Freq","Mean","s.e.","SD","s.e"
"412","38000215","Male",12,433.7,21.95,61.71,12.63
"413","38000216","Female",10,377.88,9.09,45.29,7.19
"414","38000216","Male",11,385.99,13.21,57.03,8.56
"415","38000217","Female",9,491.69,21.82,50.31,14.73
"416","38000217","Male",1,NA,NA,NA,NA
"417","38000218","Female",14,534.81,4.83,51.64,9.54
"418","38000218","Male",24,548.87,4.63,60.54,6.75
"419","38000219","Female",25,521.32,10.99,50,8.75
"420","38000219","Male",15,558.75,13.49,48.48,10.9
"421","38000220","Female",15,351.34,4.65,78.7,7.53
"422","38000220","Male",16,344.86,11.15,60.41,5.98
"423","38000221","Female",5,558.16,22.53,36.85,14.85
"424","38000221","Male",34,524.56,12.9,65.32,12.87
"425","38000222","Female",28,450.55,4.53,53.28,4.98
"426","38000222","Male",10,497.56,9.58,58.39,7.26
"427","38000223","Female",9,560.95,24.21,66.72,15.14
"428","38000223","Male",11,537.29,28.3,82.16,24.01
"429","38000224","Female",2,380.08,14.86,13.35,9.71
"430","38000224","Male",1,NA,NA,NA,NA
"431","38000225","Female",13,363.12,7.14,41.2,5.68
"432","38000225","Male",18,367.2,5.88,46.77,4.98
"433","38000226","Female",17,538.22,15.89,63.65,13.52
"434","38000226","Male",24,589.46,15.32,61.43,9.95
"435","38000227","Female",24,423.18,6.25,64.68,4.43
"436","38000227","Male",10,457.9,8.21,58.42,9.39
"437","38000228","Female",10,490.24,20.5,70.15,17.89
"438","38000228","Male",6,530.09,28.95,59.92,19.06
"439","38000229","Female",23,527.49,3.54,79.66,4.14
"440","38000229","Male",13,547.94,11.54,87.05,8.61
"441","38000230","Female",8,384.97,11.59,45.25,5.92
"442","38000230","Male",13,433.02,11.14,65.86,12.74
"443","38000231","Female",32,407.98,3.62,49.13,5.44
"444","38000231","Male",6,449.25,13.27,51.74,12.55
"445","38000232","Female",32,413.13,4.8,54.67,4.13
"446","38000232","Male",6,425.29,10.35,49.27,6.46
"447","38000233","Female",28,466.41,4.39,64.27,5.68
"448","38000233","Male",11,499.38,9.87,84.67,7.43
"449","38000234","Female",17,502.27,5.17,43.26,7.01
"450","38000234","Male",22,513.38,3.55,59.32,2.28
"451","38000235","Female",8,463.81,8.12,52.26,9.26
"452","38000235","Male",29,465.18,4.82,77.41,4.12
"453","38000236","Female",6,442.69,10.75,41.7,10.58
"454","38000236","Male",16,394.78,7.69,69.03,6.51
"455","38000237","Female",5,525.87,23.89,55.26,17.7
"456","38000237","Male",35,527.8,14.81,75.5,11.68
